"","codigo_postal","latitud","longitud"
"304",97680,20.5338649749756,-89.3335723876953
"305",97684,20.5428333282471,-89.3394012451172
"306",97686,20.5937690734863,-89.2602767944336
"307",97690,20.5957107543945,-89.00634765625
"308",97694,20.6029167175293,-89.0004577636719
"309",97695,20.5404167175293,-88.8284759521484
"310",97697,20.6088962554932,-89.1137008666992
"311",97700,21.1432228088379,-88.1516418457031
"312",97702,21.1545677185059,-88.149299621582
"313",97703,21.1273612976074,-88.1480712890625
"314",97704,21.1337928771973,-88.1623458862305
"315",97705,21.2091884613037,-88.2089462280273
"316",97706,21.1998729705811,-88.1074600219727
"317",97707,21.5163555145264,-87.6784286499023
"318",97710,21.0823879241943,-87.852912902832
"319",97712,21.1521091461182,-87.6640014648438
"320",97713,21.2140884399414,-87.7215805053711
"321",97714,21.354829788208,-87.8107986450195
"322",97715,21.1837940216064,-87.6531982421875
"323",97716,20.9938583374023,-87.5649566650391
"324",97717,21.0399951934814,-87.9467239379883
"325",97720,21.5968475341797,-88.1597671508789
"326",97723,21.6049327850342,-88.1560821533203
"327",97726,21.4627151489258,-88.1970977783203
"328",97730,21.0108871459961,-88.307258605957
"329",97733,20.9351215362549,-88.2997131347656
"330",97734,20.9164581298828,-88.4211730957031
"331",97739,21.1115531921387,-88.4894943237305
"332",97740,20.8032417297363,-88.2006301879883
"333",97743,20.8920822143555,-88.1457977294922
"334",97744,20.8527736663818,-88.0922470092773
"335",97745,21.0205192565918,-88.1742782592773
"336",97746,21.0559940338135,-88.0818023681641
"337",97747,20.9737110137939,-88.1159973144531
"338",97748,21.0738334655762,-88.0391082763672
"339",97750,20.7645206451416,-88.3908309936523
"340",97751,20.6996593475342,-88.591682434082
"341",97753,20.7805690765381,-88.3659515380859
"342",97754,20.8066177368164,-88.4499359130859
"343",97755,20.7176761627197,-88.3952331542969
"344",97756,20.6669445037842,-88.5118026733398
"345",97757,20.6988677978516,-88.5954437255859
"346",97758,20.5129375457764,-88.5841445922852
"347",97759,20.4388732910156,-88.5675506591797
"348",97760,20.6377258300781,-88.2122650146484
"349",97761,20.3839340209961,-88.0866012573242
"350",97762,20.5389213562012,-88.2748336791992
"351",97763,20.3580188751221,-88.3018035888672
"352",97764,20.6143951416016,-88.4151916503906
